Date,Open,High,Low,Close,Adj Close,Volume
01-04-2000,1.209821,1.245536,0.936384,1.107701,0.937779,8662404800
01-05-2000,1.114955,1.127232,0.729911,0.75,0.63495,9807750400
01-06-2000,0.729911,1.029018,0.717634,0.935268,0.791797,8105204800
01-07-2000,0.930804,1.082589,0.837054,0.907366,0.768176,5746770400
01-08-2000,0.898438,1.098214,0.790179,1.08817,0.921244,5636086400
01-09-2000,1.094866,1.145089,0.453125,0.459821,0.389284,14516930400
01-10-2000,0.476563,0.477679,0.3125,0.34933,0.295743,21905788800
01-11-2000,0.347098,0.410714,0.287946,0.294643,0.249445,8488373600
01-12-2000,0.303571,0.3125,0.243304,0.265625,0.224878,8858970400
01-01-2001,0.265625,0.401786,0.257813,0.386161,0.326924,13709460800
01-02-2001,0.36942,0.391741,0.321429,0.325893,0.275901,7023766400
01-03-2001,0.31808,0.424107,0.30692,0.394107,0.333651,10799062400
01-04-2001,0.394464,0.484286,0.334821,0.455179,0.385354,11158991200
01-05-2001,0.45375,0.476786,0.344643,0.35625,0.301601,7468434400
01-06-2001,0.359464,0.448214,0.345536,0.415179,0.35149,7638265600
01-07-2001,0.422143,0.450357,0.31875,0.335536,0.284065,8655102400
01-08-2001,0.339464,0.355357,0.308571,0.33125,0.280436,5129359200
01-09-2001,0.330357,0.340714,0.262143,0.276964,0.234478,5531523200
01-10-2001,0.276607,0.346786,0.264821,0.313571,0.265469,7544247200
01-11-2001,0.315179,0.384821,0.308036,0.380357,0.32201,5369744800
01-12-2001,0.376071,0.429107,0.35875,0.391071,0.33108,4629839200
01-01-2002,0.39375,0.441607,0.361607,0.441429,0.373714,8515376800
01-02-2002,0.434643,0.463929,0.373929,0.3875,0.328057,7837424000
01-03-2002,0.391607,0.451786,0.389643,0.422679,0.35784,5318583200
01-04-2002,0.4175,0.467321,0.410714,0.433393,0.36691,6422836000
01-05-2002,0.43375,0.463929,0.395357,0.416071,0.352245,5976157600
01-06-2002,0.417679,0.41875,0.285357,0.316429,0.267889,8708016800
01-07-2002,0.31625,0.335536,0.246429,0.2725,0.230698,8118415200
01-08-2002,0.269821,0.290179,0.249464,0.263393,0.222988,5151686400
01-09-2002,0.25875,0.27125,0.250893,0.258929,0.219209,5291837600
01-10-2002,0.260536,0.293571,0.238571,0.286964,0.242944,6611432800
01-11-2002,0.284643,0.310357,0.268036,0.276786,0.234327,4531721600
01-12-2002,0.283929,0.2875,0.246071,0.255893,0.216639,4530439200
01-01-2003,0.256429,0.274643,0.242143,0.256429,0.217093,6045832800
01-02-2003,0.257321,0.273214,0.246429,0.268036,0.226919,4114303200
01-03-2003,0.268036,0.270714,0.250714,0.2525,0.213766,4028404800
01-04-2003,0.253571,0.266964,0.227143,0.253929,0.214976,7775342400
01-05-2003,0.254464,0.339464,0.25,0.320536,0.271366,10811544800
01-06-2003,0.323214,0.351607,0.296964,0.340357,0.288146,6113335200
01-07-2003,0.336964,0.385179,0.330536,0.376429,0.318685,5218270400
01-08-2003,0.375,0.408036,0.346786,0.40375,0.341815,4307564800
01-09-2003,0.404643,0.416429,0.359821,0.37,0.313242,5347484800
